Ticker,Sector,Total Return (%),CAGR (%),Beta,Volatility (%),Sharpe,Max Drawdown (%)
NVDA,Technology,52575.38107640986,68.78228420894897,1.751098088601078,47.17788849052587,1.4155420334752793,-66.3350830852517
AVGO,Technology,8269.77083973421,44.743105063584295,1.445902418369001,38.561256136088154,1.1084469062091182,-48.29997897663962
AMD,Technology,7114.114151095237,42.95780181101736,1.6877253285602092,57.46567835852221,0.7127350269057301,-65.44994295506879
LRCX,Technology,5711.574753186106,40.39951572457117,1.6617087560782215,41.39953824705392,0.9275348796264354,-56.39314731960923
ANET,Technology,4100.145596590909,37.899973009802764,1.3308152191471085,44.95590745910175,0.7985596340695036,-52.20064856586243
KLAC,Technology,3771.8380440641645,35.71675084654815,1.5462946896601928,38.5325872623583,0.8750191264598877,-40.28339223565431
TSLA,Consumer Discretionary,3598.9724967986945,35.19997515074109,1.5966462284711036,56.82750604737898,0.584223687787058,-73.63221744219119
LLY,Health Care,2386.7950253184845,30.789589837994868,0.6944152994633886,28.494637796277345,1.010351141987706,-34.475003114834685
CDNS,Technology,2058.8662254167234,29.253838276741018,1.2413746354937718,31.55912531095867,0.8635802801314435,-32.11696829091163
FTNT,Technology,1890.6495803152616,28.380991997430428,1.2293518674113222,39.22287761889365,0.6725919565045557,-51.19803507541165
MU,Technology,1833.8914519915254,28.071178117265518,1.6556174497773437,47.771140555850955,0.5457516361114462,-73.8010463552587
PANW,Technology,1742.7310431069075,27.555690545657985,1.0870169532896632,38.76806099903342,0.6591944473646786,-47.98336493838788
MSCI,Financials,1578.43606286993,26.564595090061328,1.142789928553015,29.43451141480781,0.8345508014005443,-43.744852205727646
AAPL,Technology,1538.543057270736,26.310552696848543,1.2050245442866185,28.218462131107447,0.8615123171453448,-38.51590186923703
CTAS,Industrials,1459.4438975163068,25.789620110758804,1.0156554539199663,25.295246125160787,0.9404779061270189,-48.37968238890806
MSFT,Technology,1327.5305050520838,24.864415198455745,1.1818762998660546,26.44233353595738,0.8646897660285453,-37.148473695047876
AMZN,Consumer Discretionary,1285.5842029773703,24.55375077918811,1.1914294233529892,32.705127981958256,0.6896090054021455,-56.14526325328263
IDXX,Health Care,1133.8436567831188,23.352892648201106,1.0452547083522108,31.972762912424173,0.6678463386692073,-54.00135879670388
SNPS,Technology,1120.4947781366197,23.24086585621108,1.2131480899552862,32.149729542158866,0.6606856778797259,-40.525292965923775
GOOG,Technology,1107.2185195864847,23.128329139945535,1.149551122086549,28.201325383197407,0.7491963180047551,-44.60184888045276
GOOGL,Technology,1099.478110528125,23.062192731128484,1.151754517681596,28.219610388309853,0.7463672404156801,-44.32005493025624
META,Technology,1075.0347348638188,22.850742337941643,1.3088989687670851,37.228458541635526,0.5600753604832338,-76.73609109259182
TT,Unknown,1054.9913425935238,22.67432463978334,1.0140994487454007,26.30115032615503,0.7860616126445189,-40.525553869760195
ISRG,Health Care,1026.5872783243842,22.41945104632983,1.1901857163871195,31.652071700296684,0.6451221025806798,-49.90422231080242
ORLY,Consumer Discretionary,1017.9581292533833,22.340853693983355,0.7101317707926349,25.621571068099,0.7938956451936477,-42.00360004693225
