date,trigger,from_hb,from_bb,to_hb,to_bb,score
2005-09-01,bond-rate-release,1.0,0.0,0.75,0.25,53.55419667798598
2005-12-01,bond-rate-mixed,0.75,0.25,0.4,0.6,61.005470218725556
2006-07-01,bond-rate-inflation,0.4,0.6,0.15,0.85,70.97675391966237
2006-08-01,bond-rate-inflation,0.15,0.85,0.4,0.6,65.57834144740762
2006-09-01,bond-rate-mixed,0.4,0.6,0.15,0.85,71.92430074808955
2006-12-01,bond-rate-mixed,0.15,0.85,0.4,0.6,68.98598777593725
2007-01-01,bond-rate-mixed,0.4,0.6,0.15,0.85,70.20616113862738
2007-04-01,bond-rate-mixed,0.15,0.85,0.4,0.6,67.78162857552628
2007-06-01,bond-rate-mixed,0.4,0.6,0.15,0.85,72.12550297550841
2007-09-01,bond-rate-mixed,0.15,0.85,0.4,0.6,67.06047718713202
2007-10-01,bond-rate-mixed,0.4,0.6,0.15,0.85,72.43471626020046
2007-11-01,bond-rate-mixed,0.15,0.85,0.4,0.6,69.89339952829249
2008-03-01,bond-rate-mixed,0.4,0.6,0.75,0.25,57.701014337984326
2008-05-01,bond-rate-release,0.75,0.25,1.0,0.0,47.93710164235062
2008-08-01,bond-rate-release,1.0,0.0,0.75,0.25,52.1477361868816
2008-10-01,bond-rate-mixed,0.75,0.25,0.4,0.6,62.04081574808619
2009-01-01,bond-rate-release,0.4,0.6,0.75,0.25,53.08559087094083
2009-04-01,bond-rate-mixed,0.75,0.25,0.4,0.6,60.961333276137495
2009-05-01,bond-rate-mixed,0.4,0.6,0.75,0.25,55.915991672926204
2009-08-01,bond-rate-release,0.75,0.25,1.0,0.0,46.56525793587107
2010-01-01,bond-rate-release,1.0,0.0,0.75,0.25,50.43345590229104
2010-02-01,bond-rate-release,0.75,0.25,1.0,0.0,49.79288427871531
2010-12-01,bond-rate-release,1.0,0.0,0.75,0.25,52.70448552084679
2011-04-01,bond-rate-release,0.75,0.25,1.0,0.0,48.320231328754005
2012-10-01,bond-rate-release,1.0,0.0,0.75,0.25,50.00028185929046
2012-11-01,bond-rate-release,0.75,0.25,1.0,0.0,49.85864425049681
2013-02-01,bond-rate-release,1.0,0.0,0.75,0.25,50.001200580187145
2013-04-01,bond-rate-release,0.75,0.25,1.0,0.0,48.54072961286388
2013-07-01,bond-rate-mixed,1.0,0.0,0.75,0.25,57.189928039525974
2013-10-01,bond-rate-release,0.75,0.25,1.0,0.0,49.85408301570383
2013-11-01,bond-rate-release,1.0,0.0,0.75,0.25,51.38856883426312
2014-02-01,bond-rate-release,0.75,0.25,1.0,0.0,48.72880047444578
2015-05-01,bond-rate-release,1.0,0.0,0.75,0.25,50.27331774214543
2015-06-01,bond-rate-release,0.75,0.25,1.0,0.0,49.637534266630766
2015-07-01,bond-rate-release,1.0,0.0,0.75,0.25,52.58957996951725
2015-08-01,bond-rate-release,0.75,0.25,1.0,0.0,49.76840180650915
2016-01-01,bond-rate-release,1.0,0.0,0.75,0.25,50.532853931238265
2016-02-01,bond-rate-release,0.75,0.25,1.0,0.0,49.28292485277092
2016-03-01,bond-rate-release,1.0,0.0,0.75,0.25,50.829993290404666
2016-04-01,bond-rate-release,0.75,0.25,1.0,0.0,49.4653131243951
2016-06-01,bond-rate-release,1.0,0.0,0.75,0.25,51.32236691332048
2016-08-01,bond-rate-release,0.75,0.25,1.0,0.0,47.67972670478142
2016-10-01,bond-rate-release,1.0,0.0,0.75,0.25,50.00186042307722
2016-11-01,bond-rate-release,0.75,0.25,1.0,0.0,49.36690602393588
2016-12-01,bond-rate-release,1.0,0.0,0.75,0.25,51.465092534403425
2017-03-01,bond-rate-release,0.75,0.25,1.0,0.0,47.16847677889866
2018-03-01,bond-rate-release,1.0,0.0,0.75,0.25,50.920793986192606
2018-04-01,bond-rate-release,0.75,0.25,1.0,0.0,49.60732224833324
2019-07-01,bond-rate-release,1.0,0.0,0.75,0.25,50.662386633387804
2019-08-01,bond-rate-release,0.75,0.25,1.0,0.0,49.39527155236576
2020-04-01,bond-rate-mixed,1.0,0.0,0.4,0.6,62.5735878662048
2020-05-01,bond-rate-release,0.4,0.6,1.0,0.0,49.33008808099158
2020-06-01,bond-rate-release,1.0,0.0,0.75,0.25,50.38624722648108
2020-07-01,bond-rate-release,0.75,0.25,1.0,0.0,48.33712305273182
2021-01-01,bond-rate-release,1.0,0.0,0.75,0.25,50.95354859817674
2021-05-01,bond-rate-inflation,0.75,0.25,0.4,0.6,64.84820895265797
2021-10-01,bond-rate-inflation,0.4,0.6,0.15,0.85,70.03525991074781
2021-11-01,bond-rate-mixed,0.15,0.85,0.4,0.6,69.21634627647549
2022-01-01,bond-rate-inflation,0.4,0.6,0.15,0.85,71.05471294895473
2022-05-01,bond-rate-inflation,0.15,0.85,0.4,0.6,68.3036463453458
2022-06-01,bond-rate-inflation,0.4,0.6,0.0,1.0,82.35526466986443
2022-07-01,bond-rate-inflation,0.0,1.0,0.15,0.85,75.64185509581434
2022-10-01,bond-rate-inflation,0.15,0.85,0.0,1.0,85.87890908000149
2022-12-01,bond-rate-inflation,0.0,1.0,0.15,0.85,72.91580019794357
2023-01-01,bond-rate-mixed,0.15,0.85,0.75,0.25,57.16462250161002
2023-03-01,bond-rate-mixed,0.75,0.25,0.4,0.6,66.02922421011166
2023-11-01,bond-rate-mixed,0.4,0.6,0.15,0.85,73.78996945638664
2024-01-01,bond-rate-mixed,0.15,0.85,0.4,0.6,64.9526318727093
2024-12-01,bond-rate-mixed,0.4,0.6,0.75,0.25,59.115798272539436
2025-01-01,bond-rate-mixed,0.75,0.25,0.4,0.6,61.79685419899519
2025-02-01,bond-rate-mixed,0.4,0.6,0.75,0.25,57.86130062216179
