date,cash,positions_value,total_value,num_positions,positions,benchmark_value
2015-01-01,100000.0,0.0,100000.0,0,None,100000.0
2015-02-01,0.0,100000.0,100000.0,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",97089.02248004457
2015-03-01,0.0,107394.36113174581,107394.36113174581,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",102545.89137356289
2015-04-01,-1.1368683772161603e-13,102434.68776746636,102434.68776746636,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",100578.40975848291
2015-05-01,0.0,106088.8357271011,106088.8357271011,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",103032.96664956036
2015-06-01,0.0,108162.28386121846,108162.28386121846,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",103448.57136665322
2015-07-01,0.0,105034.06133677362,105034.06133677362,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",101952.02390361078
2015-08-01,0.0,113022.0969804385,113022.0969804385,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",103426.02774672696
2015-09-01,0.0,105314.65970611942,105314.65970611942,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",94223.31204533398
2015-10-01,0.0,104643.66770362186,104643.66770362186,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",94890.98806429077
2015-11-01,0.0,119917.86560052278,119917.86560052278,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",102694.42568307303
2015-12-01,0.0,129370.72994594646,129370.72994594646,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",104052.645062619
2016-01-01,0.0,127169.29598067423,127169.29598067423,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",101288.48432867716
2016-02-01,0.0,114874.48549241139,114874.48549241139,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",96210.89138300477
2016-03-01,0.0,118439.93483627216,118439.93483627216,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",98426.73049259742
2016-04-01,-1.1368683772161603e-13,122167.69280732353,122167.69280732353,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",103334.05481309882
2016-05-01,0.0,120597.04646857445,120597.04646857445,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",103039.43209141397
2016-06-01,0.0,135557.98966436778,135557.98966436778,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",105007.0126214597
2016-07-01,0.0,130101.48154441809,130101.48154441809,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",105377.39521465581
2016-08-01,0.0,145077.31922593006,145077.31922593006,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",108901.35776976605
2016-09-01,0.0,154525.66955782307,154525.66955782307,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",109127.25257477904
2016-10-01,0.0,161477.46569793404,161477.46569793404,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",109128.56544614291
2016-11-01,0.0,159978.7863938747,159978.7863938747,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",106459.61486289081
2016-12-01,0.0,165730.2448834937,165730.2448834937,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",110778.36816024367
2017-01-01,0.0,178737.86362017647,178737.86362017647,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",113440.98818568641
2017-02-01,0.0,192082.97841136222,192082.97841136222,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",115516.63781197218
2017-03-01,0.0,200526.25997860866,200526.25997860866,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",121687.81663467365
2017-04-01,0.0,212770.8645138037,212770.8645138037,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",120157.99777405357
2017-05-01,0.0,226678.95047454318,226678.95047454318,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",121656.5505132203
2017-06-01,0.0,247439.5351940212,247439.5351940212,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",124041.97483549317
2017-07-01,0.0,239194.28520544202,239194.28520544202,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",123847.84072676241
2017-08-01,0.0,250478.7015918865,250478.7015918865,8,"MU, ANET, LRCX, NVDA, GOOGL, GOOG, AMZN, META",126675.12719340564
