date,trigger,from_hb,from_bb,to_hb,to_bb,score
2008-10-01,macro-bearish,1.0,0.0,0.4,0.6,66.68946865360412
2008-11-01,macro-bearish,0.4,0.6,0.75,0.25,58.59023981069438
2009-02-01,macro-bearish,0.75,0.25,0.4,0.6,61.82368950459261
2009-03-01,macro-release,0.4,0.6,1.0,0.0,48.02697938024838
2010-07-01,macro-bearish,1.0,0.0,0.15,0.85,75.50127020838504
2010-08-01,macro-bearish,0.15,0.85,0.75,0.25,55.27301601094946
2010-10-01,macro-release,0.75,0.25,1.0,0.0,30.287438673123567
2011-09-01,macro-bearish,1.0,0.0,0.15,0.85,74.45273172140327
2011-10-01,macro-bearish,0.15,0.85,0.0,1.0,82.73745556627597
2011-11-01,macro-release,0.0,1.0,1.0,0.0,49.35467947210695
2015-10-01,macro-bearish,1.0,0.0,0.15,0.85,73.41158814696415
2015-11-01,macro-release,0.15,0.85,1.0,0.0,47.29430932656816
2019-01-01,macro-bearish,1.0,0.0,0.15,0.85,72.55190632168423
2019-02-01,macro-bearish,0.15,0.85,0.4,0.6,62.905554767421165
2019-03-01,macro-release,0.4,0.6,1.0,0.0,26.80887914437353
2020-04-01,macro-bearish,1.0,0.0,0.15,0.85,72.57175953440007
2020-05-01,macro-bearish,0.15,0.85,0.4,0.6,68.77589887693638
2020-06-01,macro-release,0.4,0.6,1.0,0.0,33.35015803516794
2022-10-01,macro-bearish,1.0,0.0,0.4,0.6,69.39770441345328
2022-11-01,macro-bearish,0.4,0.6,0.75,0.25,57.85133228362339
2022-12-01,macro-release,0.75,0.25,1.0,0.0,40.38473771075861
