date,trigger,from_hb,from_bb,to_hb,to_bb,score
2008-10-01,macro-bearish,1.0,0.0,0.6,0.4,66.68945775543133
2008-11-01,macro-bearish,0.6,0.4,0.85,0.15,58.59023981069438
2009-03-01,macro-release,0.85,0.15,1.0,0.0,48.02697938024838
2010-07-01,macro-bearish,1.0,0.0,0.3,0.7,75.50126021569582
2010-08-01,macro-bearish,0.3,0.7,0.85,0.15,55.27303658611344
2010-09-01,macro-release,0.85,0.15,1.0,0.0,51.52587144902897
2011-09-01,macro-bearish,1.0,0.0,0.6,0.4,74.45275026467456
2011-10-01,macro-bearish,0.6,0.4,0.3,0.7,82.73746128246793
2011-11-01,macro-release,0.3,0.7,1.0,0.0,49.35467284235515
2015-10-01,macro-bearish,1.0,0.0,0.6,0.4,73.41158322216582
2015-11-01,macro-release,0.6,0.4,1.0,0.0,47.29428588784746
2019-01-01,macro-bearish,1.0,0.0,0.6,0.4,72.55190304714296
2019-02-01,macro-bearish,0.6,0.4,0.85,0.15,62.90555068507345
2019-03-01,macro-release,0.85,0.15,1.0,0.0,26.808864666932948
2020-04-01,macro-bearish,1.0,0.0,0.6,0.4,72.57175568378618
2020-06-01,macro-release,0.6,0.4,1.0,0.0,33.35016443848363
2022-10-01,macro-bearish,1.0,0.0,0.6,0.4,69.3977124746837
2022-11-01,macro-bearish,0.6,0.4,0.85,0.15,57.85133092546961
2022-12-01,macro-release,0.85,0.15,1.0,0.0,40.384745666941704
