date,cash,positions_value,total_value,num_positions,positions,benchmark_value
2023-01-01,100000.0,0.0,100000.0,0,None,100000.0
2023-02-01,0.0,100000.0,100000.0,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",107872.46469414077
2023-03-01,0.0,96424.80609068509,96424.80609068509,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",103655.26385769695
2023-04-01,0.0,109207.2117262868,109207.2117262868,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",107912.50846572097
2023-05-01,0.0,111558.13189510712,111558.13189510712,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",109525.70759012175
2023-06-01,0.0,132620.8733238183,132620.8733238183,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",111188.96561943014
2023-07-01,0.0,134906.50977479335,134906.50977479335,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",117279.71714246372
2023-08-01,0.0,147084.38188879678,147084.38188879678,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",120772.09051367409
2023-09-01,-1.1368683772161603e-13,148323.78405096268,148323.78405096268,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",119372.47772638539
2023-10-01,0.0,139146.28762911118,139146.28762911118,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",113498.41346040624
2023-11-01,0.0,138696.9840878982,138696.9840878982,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",112218.68056191687
2023-12-01,0.0,151415.92957565575,151415.92957565575,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",121893.7100185611
2024-01-01,0.0,162531.13434373416,162531.13434373416,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",126709.2124057247
2024-02-01,0.0,173937.53799471603,173937.53799471603,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",130412.02928978122
2024-03-01,0.0,200093.9309123689,200093.9309123689,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",136716.71914624466
2024-04-01,0.0,216164.57023674637,216164.57023674637,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",139631.06427846663
2024-05-01,0.0,205227.2221246488,205227.2221246488,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",133798.86243170957
2024-06-01,0.0,226530.18998447873,226530.18998447873,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",141024.3076085764
2024-07-01,0.0,247928.41420680287,247928.41420680287,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",146300.12898988873
2024-08-01,0.0,217303.52844621328,217303.52844621328,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",145675.06733815273
2024-09-01,0.0,216481.43677101645,216481.43677101645,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",151220.24971121637
2024-10-01,0.0,221051.75154105717,221051.75154105717,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",153013.4195243809
2024-11-01,0.0,224369.82218861094,224369.82218861094,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",153664.6294740094
2024-12-01,0.0,223619.14679185464,223619.14679185464,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",162143.85201136145
2025-01-01,-7.105427357601002e-15,224448.59243534756,224448.59243534756,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",158242.66005963992
2025-02-01,0.0,241509.52034931863,241509.52034931863,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",162492.47922153166
2025-03-01,0.0,224592.44709991716,224592.44709991716,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",160429.6634672157
2025-04-01,0.0,206042.19000837207,206042.19000837207,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",151918.5433587807
2025-05-01,0.0,203753.1852627573,203753.1852627573,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",151241.48682238927
2025-06-01,0.0,228122.3940997774,228122.3940997774,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",159615.0601792181
2025-07-01,0.0,258183.57964404474,258183.57964404474,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",167762.76923213596
2025-08-01,0.0,262587.8420362454,262587.8420362454,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",168868.22204899907
2025-09-01,0.0,274672.7703373926,274672.7703373926,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",175204.99385556905
2025-10-01,0.0,333707.2047307503,333707.2047307503,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",182064.16172118825
2025-11-01,-9.094947017729282e-13,367703.8186597362,367703.8186597362,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",185771.06846722282
2025-12-01,0.0,378280.19308682857,378280.19308682857,8,"AMAT, MU, NVDA, LRCX, GOOG, GOOGL, META, AMZN",185283.53680536355
