date,cash,positions_value,total_value,num_positions,positions,benchmark_value
2023-01-01,100000.0,0.0,100000.0,0,None,100000.0
2023-02-01,100000.0,0.0,100000.0,0,None,107872.49225741642
2023-03-01,100000.0,0.0,100000.0,0,None,103655.27475229985
2023-04-01,10440.112812042236,89559.88718795776,100000.0,15,"ATO, CMS, ED, NEM, AEM, NEE, HRL, XEL, SO, MO, D, HSY, WMT, SJM, TSN",107912.54110968001
2023-05-01,10440.112812042236,92525.33925247192,102965.45206451416,15,"ATO, CMS, ED, NEM, AEM, NEE, HRL, XEL, SO, MO, D, HSY, WMT, SJM, TSN",109525.71621503333
2023-06-01,10440.112812042236,86228.99726867676,96669.110080719,15,"ATO, CMS, ED, NEM, AEM, NEE, HRL, XEL, SO, MO, D, HSY, WMT, SJM, TSN",111188.97739540739
2023-07-01,10167.375686645508,87470.98532867432,97638.36101531982,15,"ATO, CMS, ED, NEM, AEM, NEE, HRL, XEL, SO, MO, D, HSY, WMT, SJM, TSN",117279.7542381006
2023-08-01,10167.375686645508,88327.52305603027,98494.89874267578,15,"ATO, CMS, ED, NEM, AEM, NEE, HRL, XEL, SO, MO, D, HSY, WMT, SJM, TSN",120772.10752499929
2023-09-01,10167.375686645508,83903.21489715576,94070.59058380127,15,"ATO, CMS, ED, NEM, AEM, NEE, HRL, XEL, SO, MO, D, HSY, WMT, SJM, TSN",119372.51518296674
2023-10-01,9576.709922790527,80194.84219360352,89771.55211639404,15,"ATO, CMS, ED, NEM, AEM, NEE, HRL, XEL, SO, MO, D, HSY, WMT, SJM, TSN",113498.4389784375
2023-11-01,9576.709922790527,79108.7363204956,88685.44624328613,15,"ATO, CMS, ED, NEM, AEM, NEE, HRL, XEL, SO, MO, D, HSY, WMT, SJM, TSN",112218.70975002815
2023-12-01,9576.709922790527,83120.4519996643,92697.16192245483,15,"ATO, CMS, ED, NEM, AEM, NEE, HRL, XEL, SO, MO, D, HSY, WMT, SJM, TSN",121893.74215841973
2024-01-01,9853.29179763794,84319.68426132202,94172.97605895996,15,"ATO, CMS, ED, NEM, AEM, NEE, HRL, XEL, SO, MO, D, HSY, WMT, SJM, TSN",126709.24149774706
