date,cash,positions_value,total_value,num_positions,positions,benchmark_value
2023-01-01,100000.0,0.0,100000.0,0,None,100000.0
2023-02-01,100000.0,0.0,100000.0,0,None,107872.48326455809
2023-03-01,100000.0,0.0,100000.0,0,None,103655.26611101252
2023-04-01,0.0,100000.0,100000.0,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",107912.53211348297
2023-05-01,0.0,101594.14327162693,101594.14327162693,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",109525.69874778988
2023-06-01,0.0,115891.87162387537,115891.87162387537,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",111189.00147232041
2023-07-01,0.0,120126.30938855672,120126.30938855672,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",117279.72778787382
2023-08-01,0.0,130257.8186896368,130257.8186896368,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",120772.08912019333
2023-09-01,0.0,132355.3918400331,132355.3918400331,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",119372.50523140174
2023-10-01,0.0,123008.40859607479,123008.40859607479,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",113498.42951656855
2023-11-01,0.0,126826.51729755814,126826.51729755814,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",112218.69205828158
2023-12-01,0.0,138371.2800428171,138371.2800428171,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",121893.723660108
2024-01-01,0.0,146330.24194027128,146330.24194027128,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",126709.23927111429
2024-02-01,0.0,160197.60789796212,160197.60789796212,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",130412.05713780281
2024-03-01,0.0,177894.89655278984,177894.89655278984,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",136716.71633451994
2024-04-01,0.0,186073.67969245606,186073.67969245606,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",139631.1037501112
2024-05-01,0.0,171317.1169129767,171317.1169129767,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",133798.87758182318
2024-06-01,0.0,187552.92545280006,187552.92545280006,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",141024.3185047274
2024-07-01,0.0,206014.98980538317,206014.98980538317,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",146300.14578147818
2024-08-01,0.0,189761.14793484219,189761.14793484219,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",145675.0536103529
2024-09-01,0.0,195997.82754604152,195997.82754604152,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",151220.28525884738
2024-10-01,0.0,198268.2194003469,198268.2194003469,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",153013.42995298762
2024-11-01,0.0,203253.92414268875,203253.92414268875,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",153664.64891273296
2024-12-01,0.0,211119.67331391847,211119.67331391847,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",162143.88390969136
2025-01-01,0.0,209197.07800441497,209197.07800441497,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",158242.672515377
2025-02-01,0.0,221668.7179288503,221668.7179288503,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",162492.5023036008
2025-03-01,0.0,214459.53199504985,214459.53199504985,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",160429.66979457292
2025-04-01,0.0,196593.94218057755,196593.94218057755,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",151918.5557804853
2025-05-01,0.0,199635.39421767424,199635.39421767424,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",151241.51014839
2025-06-01,0.0,220153.84936127497,220153.84936127497,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",159615.10421829257
2025-07-01,0.0,240496.79086666502,240496.79086666502,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",167762.7941024819
2025-08-01,0.0,241618.6396300968,241618.6396300968,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",168868.23903694024
2025-09-01,0.0,256978.84514416358,256978.84514416358,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",175205.0273476783
2025-10-01,0.0,287936.94196596363,287936.94196596363,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",182064.18469955568
2025-11-01,0.0,301974.1824741687,301974.1824741687,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",185771.10415526817
2025-12-01,0.0,294047.80167712783,294047.80167712783,12,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V, AMZN, RCL",185283.56527458015
