date,cash,positions_value,total_value,num_positions,positions,benchmark_value
2014-01-01,100000.0,0.0,100000.0,0,None,100000.0
2014-01-02,100000.0,0.0,100000.0,0,None,100000.0
2014-01-03,100000.0,0.0,100000.0,0,None,99983.5824623828
2014-01-06,100000.0,0.0,100000.0,0,None,99693.87386189747
2014-01-07,100000.0,0.0,100000.0,0,None,100306.14662161795
2014-01-08,100000.0,0.0,100000.0,0,None,100328.0434996127
2014-01-09,100000.0,0.0,100000.0,0,None,100393.60099074667
2014-01-10,100000.0,0.0,100000.0,0,None,100666.95350416107
2014-01-13,100000.0,0.0,100000.0,0,None,99327.55691370367
2014-01-14,100000.0,0.0,100000.0,0,None,100410.01852836389
2014-01-15,100000.0,0.0,100000.0,0,None,100951.24421481513
2014-01-16,100000.0,0.0,100000.0,0,None,100820.05754024319
2014-01-17,100000.0,0.0,100000.0,0,None,100393.60099074667
2014-01-20,100000.0,0.0,100000.0,0,None,100393.60099074667
2014-01-21,100000.0,0.0,100000.0,0,None,100688.8298986404
2014-01-22,100000.0,0.0,100000.0,0,None,100754.42835680522
2014-01-23,100000.0,0.0,100000.0,0,None,99928.9017179422
2014-01-24,100000.0,0.0,100000.0,0,None,97796.86477264475
2014-01-27,100000.0,0.0,100000.0,0,None,97315.72747870765
2014-01-28,100000.0,0.0,100000.0,0,None,97895.25733901313
2014-01-29,100000.0,0.0,100000.0,0,None,96954.96156319538
2014-01-30,100000.0,0.0,100000.0,0,None,97982.71170814185
2014-01-31,100000.0,0.0,100000.0,0,None,97408.69191348705
2014-02-03,100000.0,0.0,100000.0,0,None,95216.49488337147
2014-02-04,100000.0,0.0,100000.0,0,None,95883.43814577482
2014-02-05,100000.0,0.0,100000.0,0,None,95763.18966844254
2014-02-06,100000.0,0.0,100000.0,0,None,97026.03936173776
2014-02-07,100000.0,0.0,100000.0,0,None,98228.75969548796
2014-02-10,100000.0,0.0,100000.0,0,None,98409.13753236523
2014-02-11,100000.0,0.0,100000.0,0,None,99486.09932313247
2014-02-12,100000.0,0.0,100000.0,0,None,99535.33145246867
2014-02-13,100000.0,0.0,100000.0,0,None,100049.22188757847
2014-02-14,100000.0,0.0,100000.0,0,None,100601.35504599624
2014-02-17,100000.0,0.0,100000.0,0,None,100601.35504599624
2014-02-18,100000.0,0.0,100000.0,0,None,100721.62400684395
2014-02-19,100000.0,0.0,100000.0,0,None,100054.67050268287
2014-02-20,100000.0,0.0,100000.0,0,None,100645.08735143946
2014-02-21,100000.0,0.0,100000.0,0,None,100530.31821448472
2014-02-24,100000.0,0.0,100000.0,0,None,101087.93071328005
2014-02-25,100000.0,0.0,100000.0,0,None,101049.64702294122
2014-02-26,100000.0,0.0,100000.0,0,None,101055.11612156106
2014-02-27,100000.0,0.0,100000.0,0,None,101585.39336901493
2014-02-28,100000.0,0.0,100000.0,0,None,101842.33858656984
2014-03-03,100000.0,0.0,100000.0,0,None,101126.20416186114
2014-03-04,100000.0,0.0,100000.0,0,None,102547.56553931201
2014-03-05,100000.0,0.0,100000.0,0,None,102640.52997409142
2014-03-06,100000.0,0.0,100000.0,0,None,102875.53734662071
2014-03-07,100000.0,0.0,100000.0,0,None,102919.29013557936
2014-03-10,100000.0,0.0,100000.0,0,None,102864.64011641192
2014-03-11,100000.0,0.0,100000.0,0,None,102356.20853816421
2014-03-12,100000.0,0.0,100000.0,0,None,102383.55403126337
2014-03-13,100000.0,0.0,100000.0,0,None,101235.52468371147
2014-03-14,100000.0,0.0,100000.0,0,None,100951.24421481513
2014-03-17,100000.0,0.0,100000.0,0,None,101864.20473929144
2014-03-18,100000.0,0.0,100000.0,0,None,102591.30808651295
2014-03-19,100000.0,0.0,100000.0,0,None,102044.61330144186
2014-03-20,100000.0,0.0,100000.0,0,None,102640.52997409142
2014-03-21,100000.0,0.0,100000.0,0,None,102242.4021264347
2014-03-24,100000.0,0.0,100000.0,0,None,101819.58140092703
2014-03-25,100000.0,0.0,100000.0,0,None,102302.82849695343
2014-03-26,100000.0,0.0,100000.0,0,None,101566.99917215871
2014-03-27,100000.0,0.0,100000.0,0,None,101352.85426009496
2014-03-28,100000.0,0.0,100000.0,0,None,101852.53937725401
2014-03-31,100000.0,0.0,100000.0,0,None,102687.160696968
2014-04-01,100000.0,0.0,100000.0,0,None,103368.02250810609
2014-04-02,100000.0,0.0,100000.0,0,None,103713.97884196241
2014-04-03,100000.0,0.0,100000.0,0,None,103576.69832155002
2014-04-04,100000.0,0.0,100000.0,0,None,102352.22449441307
2014-04-07,100000.0,0.0,100000.0,0,None,101221.07356357556
2014-04-08,100000.0,0.0,100000.0,0,None,101638.39446519026
2014-04-09,100000.0,0.0,100000.0,0,None,102731.10807932322
2014-04-10,100000.0,0.0,100000.0,0,None,100573.14924524902
2014-04-11,100000.0,0.0,100000.0,0,None,99667.14287426122
2014-04-14,100000.0,0.0,100000.0,0,None,100452.33747124243
2014-04-15,100000.0,0.0,100000.0,0,None,101144.2194136819
2014-04-16,100000.0,0.0,100000.0,0,None,102203.97505148787
2014-04-17,100000.0,0.0,100000.0,0,None,102346.76563755095
2014-04-18,100000.0,0.0,100000.0,0,None,102346.76563755095
2014-04-21,100000.0,0.0,100000.0,0,None,102703.6396851315
2014-04-22,100000.0,0.0,100000.0,0,None,103170.32585893269
2014-04-23,100000.0,0.0,100000.0,0,None,102928.75351970806
2014-04-24,100000.0,0.0,100000.0,0,None,103137.41909139427
2014-04-25,100000.0,0.0,100000.0,0,None,102291.80836565205
2014-04-28,100000.0,0.0,100000.0,0,None,102615.78588745189
2014-04-29,100000.0,0.0,100000.0,0,None,103093.49219255446
2014-04-30,100000.0,0.0,100000.0,0,None,103400.9804844331
2014-05-01,100000.0,0.0,100000.0,0,None,103411.98013221905
2014-05-02,100000.0,0.0,100000.0,0,None,103263.74093105156
2014-05-05,100000.0,0.0,100000.0,0,None,103461.41709670954
2014-05-06,100000.0,0.0,100000.0,0,None,102560.89006609928
2014-05-07,100000.0,0.0,100000.0,0,None,103164.90796910143
2014-05-08,100000.0,0.0,100000.0,0,None,103055.09584288078
2014-05-09,100000.0,0.0,100000.0,0,None,103208.82462618352
2014-05-12,100000.0,0.0,100000.0,0,None,104213.67420087916
2014-05-13,100000.0,0.0,100000.0,0,None,104307.02782245175
2014-05-14,100000.0,0.0,100000.0,0,None,103812.83228742797
2014-05-15,100000.0,0.0,100000.0,0,None,102901.35681782033
2014-05-16,100000.0,0.0,100000.0,0,None,103258.24110715858
2014-05-19,100000.0,0.0,100000.0,0,None,103637.13493382647
2014-05-20,100000.0,0.0,100000.0,0,None,102983.71079160697
2014-05-21,100000.0,0.0,100000.0,0,None,103851.23887885935
2014-05-22,100000.0,0.0,100000.0,0,None,104103.85183290081
2014-05-23,100000.0,0.0,100000.0,0,None,104521.15225100008
2014-05-26,100000.0,0.0,100000.0,0,None,104521.15225100008
2014-05-27,100000.0,0.0,100000.0,0,None,105163.59722894906
2014-05-28,100000.0,0.0,100000.0,0,None,105086.72259553998
2014-05-29,100000.0,0.0,100000.0,0,None,105630.33461153883
2014-05-30,100000.0,0.0,100000.0,0,None,105800.55262476279
2014-06-02,100000.0,0.0,100000.0,0,None,105921.3643987694
2014-06-03,100000.0,0.0,100000.0,0,None,105866.46857741677
2014-06-04,100000.0,0.0,100000.0,0,None,106080.62373123824
2014-06-05,100000.0,0.0,100000.0,0,None,106772.48519016229
2014-06-06,100000.0,0.0,100000.0,0,None,107283.11874631872
2014-06-09,100000.0,0.0,100000.0,0,None,107392.9411142971
2014-06-10,100000.0,0.0,100000.0,0,None,107403.97148735619
2014-06-11,100000.0,0.0,100000.0,0,None,107030.56724282357
2014-06-12,100000.0,0.0,100000.0,0,None,106272.78983124554
2014-06-13,100000.0,0.0,100000.0,0,None,106596.76735304536
2014-06-16,100000.0,0.0,100000.0,0,None,106684.65187599813
2014-06-17,100000.0,0.0,100000.0,0,None,106981.12003657536
2014-06-18,100000.0,0.0,100000.0,0,None,107766.34535882971
2014-06-19,100000.0,0.0,100000.0,0,None,107887.12640756316
2014-06-20,100000.0,0.0,100000.0,0,None,108106.17712157243
2014-06-23,100000.0,0.0,100000.0,0,None,108073.055277122
2014-06-24,100000.0,0.0,100000.0,0,None,107422.04818972324
2014-06-25,100000.0,0.0,100000.0,0,None,107907.53823068924
2014-06-26,100000.0,0.0,100000.0,0,None,107830.2948940024
2014-06-27,100000.0,0.0,100000.0,0,None,108039.9743997024
2014-06-30,100000.0,0.0,100000.0,0,None,107984.79180913378
2014-07-01,100000.0,0.0,100000.0,0,None,108707.56289284182
2014-07-02,100000.0,0.0,100000.0,0,None,108817.88710694823
2014-07-03,100000.0,0.0,100000.0,0,None,109353.10088162075
2014-07-04,100000.0,0.0,100000.0,0,None,109353.10088162075
2014-07-07,100000.0,0.0,100000.0,0,None,108972.40450559501
2014-07-08,100000.0,0.0,100000.0,0,None,108271.74537679375
2014-07-09,100000.0,0.0,100000.0,0,None,108757.1944507289
2014-07-10,100000.0,0.0,100000.0,0,None,108326.87675857381
2014-07-11,100000.0,0.0,100000.0,0,None,108475.86360805448
2014-07-14,100000.0,0.0,100000.0,0,None,109022.09751402838
2014-07-15,100000.0,0.0,100000.0,0,None,108817.88710694823
2014-07-16,100000.0,0.0,100000.0,0,None,109220.70567963843
2014-07-17,100000.0,0.0,100000.0,0,None,107979.29198524081
2014-07-18,100000.0,0.0,100000.0,0,None,109082.76968673228
2014-07-21,100000.0,0.0,100000.0,0,None,108878.6207301984
2014-07-22,100000.0,0.0,100000.0,0,None,109353.10088162075
2014-07-23,100000.0,0.0,100000.0,0,None,109595.87150649804
2014-07-24,100000.0,0.0,100000.0,0,None,109601.36108863329
2014-07-25,100000.0,0.0,100000.0,0,None,109088.24902710982
2014-07-28,100000.0,0.0,100000.0,0,None,109132.38076110394
2014-07-29,100000.0,0.0,100000.0,0,None,108663.43115884771
2014-07-30,100000.0,0.0,100000.0,0,None,108679.98183931521
