date,cash,positions_value,total_value,num_positions,positions,benchmark_value
2014-01-01,100000.0,0.0,100000.0,0,None,100000.0
2014-01-02,100000.0,0.0,100000.0,0,None,100000.0
2014-01-03,100000.0,0.0,100000.0,0,None,99983.61318933424
2014-01-06,100000.0,0.0,100000.0,0,None,99693.87389325017
2014-01-07,100000.0,0.0,100000.0,0,None,100306.1056232365
2014-01-08,100000.0,0.0,100000.0,0,None,100328.0127407453
2014-01-09,100000.0,0.0,100000.0,0,None,100393.60095043502
2014-01-10,100000.0,0.0,100000.0,0,None,100666.94319409665
2014-01-13,100000.0,0.0,100000.0,0,None,99327.55698257365
2014-01-14,100000.0,0.0,100000.0,0,None,100410.01848637078
2014-01-15,100000.0,0.0,100000.0,0,None,100951.20315036435
2014-01-16,100000.0,0.0,100000.0,0,None,100820.03697274157
2014-01-17,100000.0,0.0,100000.0,0,None,100393.60095043502
2014-01-20,100000.0,0.0,100000.0,0,None,100393.60095043502
2014-01-21,100000.0,0.0,100000.0,0,None,100688.79910282211
2014-01-22,100000.0,0.0,100000.0,0,None,100754.41803778184
2014-01-23,100000.0,0.0,100000.0,0,None,99928.90172522391
2014-01-24,100000.0,0.0,100000.0,0,None,97796.82403125784
2014-01-27,100000.0,0.0,100000.0,0,None,97315.74823713762
2014-01-28,100000.0,0.0,100000.0,0,None,97895.23707106242
2014-01-29,100000.0,0.0,100000.0,0,None,96954.97211681747
2014-01-30,100000.0,0.0,100000.0,0,None,97982.73239826095
2014-01-31,6556.146634082439,89630.41466617584,96186.56130025828,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",97408.73314590918
2014-02-03,6556.146634082439,87227.7882528305,93783.93488691295,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",95216.45440625976
2014-02-04,6556.146634082439,87977.89935970306,94534.0459937855,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",95883.4590508964
2014-02-05,6556.146634082439,88163.64028835297,94719.7869224354,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",95763.14913533969
2014-02-06,6556.146634082439,89999.51851654053,96555.66515062297,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",97025.9986992969
2014-02-07,6556.146634082439,91436.80394363403,97992.95057771647,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",98228.70866811075
2014-02-10,6556.146634082439,91487.04834747314,98043.19498155559,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",98409.14793705416
2014-02-11,6556.146634082439,93866.17223834991,100422.31887243236,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",99486.0788922516
2014-02-12,6556.146634082439,93930.74004840851,100486.88668249095,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",99535.31101654556
2014-02-13,6556.146634082439,94987.19776630402,101543.34440038646,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",100049.21164078063
2014-02-14,6556.146634082439,95895.72833824158,102451.87497232402,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",100601.34474265025
2014-02-17,6556.146634082439,95895.72833824158,102451.87497232402,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",100601.34474265025
2014-02-18,6556.146634082439,96227.13223361969,102783.27886770213,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",100721.60344942364
2014-02-19,6556.146634082439,94797.62009429932,101353.76672838176,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",100054.66025532699
2014-02-20,6556.146634082439,96097.00463676453,102653.15127084697,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",100645.09752712784
2014-02-21,6556.146634082439,95817.8783826828,102374.02501676524,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",100530.27719314417
2014-02-24,6556.146634082439,97039.56687545776,103595.7135095402,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",101087.92036010016
2014-02-25,6556.146634082439,96443.08261203766,102999.2292461201,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",101049.6264319256
2014-02-26,6556.146634082439,96004.78643608093,102560.93307016337,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",101055.10577174196
2014-02-27,6556.146634082439,96504.69316291809,103060.83979700053,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",101585.38296488613
2014-02-28,6556.146634082439,97137.21721076965,103693.3638448521,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",101842.338397882
2014-03-03,10649.168271312425,92062.72200965881,102711.89028097125,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",101126.1323542214
2014-03-04,10649.168271312425,92913.98565292358,103563.15392423602,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",102547.54479488322
2014-03-05,10649.168271312425,92325.62202644348,102974.79029775591,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",102640.4887366281
2014-03-06,10649.168271312425,94836.5669631958,105485.73523450823,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",102875.56777738518
2014-03-07,10649.168271312425,95546.5339603424,106195.70223165484,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",102919.28983659277
2014-03-10,10649.168271312425,96499.90466117859,107149.07293249102,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",102864.67054829244
2014-03-11,10649.168271312425,95182.63799285889,105831.80626417132,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",102356.21853860375
2014-03-12,10649.168271312425,94860.17924499512,105509.34751630755,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",102383.53330363224
2014-03-13,10649.168271312425,93071.71151161194,103720.87978292437,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",101235.50407365871
2014-03-14,10649.168271312425,93505.48048973083,104154.64876104327,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",100951.20315036435
2014-03-17,10649.168271312425,94701.20265960693,105350.37093091937,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",101864.19430660746
2014-03-18,10649.168271312425,95241.01098823547,105890.1792595479,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",102591.30782111747
2014-03-19,10649.168271312425,93807.19304275513,104456.36131406756,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",102044.60285028088
2014-03-20,10649.168271312425,94230.38897132874,104879.55724264117,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",102640.4887366281
2014-03-21,10649.168271312425,94632.87156295776,105282.0398342702,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",102242.38141326
2014-03-24,10649.168271312425,93336.30082702637,103985.4690983388,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",101819.58121456992
2014-03-25,10649.168271312425,94723.20283317566,105372.37110448809,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",102302.77705232002
2014-03-26,10649.168271312425,94508.9488620758,105158.11713338824,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",101567.03997869714
2014-03-27,10649.168271312425,94096.39566040039,104745.56393171282,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",101352.84387978226
2014-03-28,10649.168271312425,94950.003698349,105599.17196966143,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",101852.46749522477
2014-03-31,10649.168271312425,95897.5739479065,106546.74221921893,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",102687.17066351221
2014-04-01,10649.168271312425,96010.59959793091,106659.76786924334,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",103368.03240491809
2014-04-02,11216.15046040962,96086.0047492981,107302.15520970772,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",103713.9887033424
2014-04-03,11216.15046040962,96341.00916099548,107557.15962140511,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",103576.70819698994
2014-04-04,11216.15046040962,95554.48402786255,106770.63448827218,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",102352.23449526062
2014-04-07,11216.15046040962,94382.84792137146,105598.99838178109,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",101221.03247148951
2014-04-08,11216.15046040962,94775.74573898315,105991.89619939278,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",101638.39429738988
2014-04-09,11216.15046040962,95495.18050765991,106711.33096806954,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",102731.10779960979
2014-04-10,11216.15046040962,94100.02106285095,105316.17152326058,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",100573.12870303514
2014-04-11,11216.15046040962,93015.83811950684,104231.98857991646,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",99667.12242483831
2014-04-14,11216.15046040962,93850.27243232727,105066.4228927369,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",100452.33742491512
2014-04-15,11216.15046040962,94114.3752117157,105330.52567212532,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",101144.1988129804
2014-04-16,11216.15046040962,95105.48962020874,106321.64008061837,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",102203.95434224878
2014-04-17,11216.15046040962,95613.20123291016,106829.35169331978,8,"BEN, HAL, CMI, ACCS, QVCGB, INTC, KMB, LMT",102346.72443017426
