date,cash,positions_value,total_value,num_positions,positions,benchmark_value
2023-01-01,100000.0,0.0,100000.0,0,None,100000.0
2023-02-01,0.0,100000.0,100000.0,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",107872.45628599207
2023-03-01,0.0,96486.71098272927,96486.71098272927,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",103655.24018715913
2023-04-01,0.0,110731.45004546084,110731.45004546084,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",107912.4967883399
2023-05-01,0.0,112450.27870152442,112450.27870152442,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",109525.69636544283
2023-06-01,0.0,129960.00128404073,129960.00128404073,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",111188.95699118175
2023-07-01,0.0,134294.4188607365,134294.4188607365,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",117279.71512970772
2023-08-01,0.0,147119.39137332005,147119.39137332005,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",120772.05891547678
2023-09-01,0.0,148940.4133640805,148940.4133640805,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",119372.47537671668
2023-10-01,0.0,138494.8241032209,138494.8241032209,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",113498.39279441023
2023-11-01,0.0,142424.0068850326,142424.0068850326,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",112218.65565618155
2023-12-01,0.0,155823.7969304953,155823.7969304953,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",121893.70151143518
2024-01-01,0.0,165685.47541307085,165685.47541307085,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",126709.20758153532
2024-02-01,0.0,182222.25418273415,182222.25418273415,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",130412.04119528277
2024-03-01,0.0,202669.12059478808,202669.12059478808,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",136716.6738055417
2024-04-01,0.0,213660.77466249038,213660.77466249038,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",139631.09383849782
2024-05-01,0.0,195347.51799115055,195347.51799115055,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",133798.8524557091
2024-06-01,0.0,216758.14479674245,216758.14479674245,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",141024.26656187055
2024-07-01,0.0,241137.97315814855,241137.97315814855,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",146300.10919227562
2024-08-01,0.0,219602.88274606335,219602.88274606335,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",145675.01717748388
2024-09-01,0.0,226958.3466420856,226958.3466420856,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",151220.23076601158
2024-10-01,0.0,229463.50445361048,229463.50445361048,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",153013.40835793593
2024-11-01,0.0,234419.03717359112,234419.03717359112,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",153664.59380856957
2024-12-01,0.0,242160.2248510933,242160.2248510933,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",162143.82668489817
2025-01-01,0.0,238499.8833302121,238499.8833302121,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",158242.61626626443
2025-02-01,0.0,252264.42902929618,252264.42902929618,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",162492.4616647412
2025-03-01,0.0,242857.13301315377,242857.13301315377,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",160429.6630178651
2025-04-01,0.0,221533.60878222686,221533.60878222686,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",151918.51778613622
2025-05-01,0.0,225864.47744275836,225864.47744275836,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",151241.45565024592
2025-06-01,0.0,251029.52730740522,251029.52730740522,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",159615.0476259392
2025-07-01,0.0,277112.32657966856,277112.32657966856,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",167762.752145539
2025-08-01,0.0,280041.94841811206,280041.94841811206,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",168868.1968035291
2025-09-01,0.0,298183.9825693209,298183.9825693209,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",175204.98352945648
2025-10-01,0.0,339907.2682586201,339907.2682586201,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",182064.1391658804
2025-11-01,0.0,358229.0752263626,358229.0752263626,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",185771.05769450407
2025-12-01,0.0,348171.4267989187,348171.4267989187,10,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V",185283.51893574797
