date,cash,positions_value,total_value,num_positions,positions,benchmark_value
2023-01-01,100000.0,0.0,100000.0,0,None,100000.0
2023-02-01,0.0,100000.0,100000.0,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",107872.48326455809
2023-03-01,0.0,96486.71495366764,96486.71495366764,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",103655.26611101252
2023-04-01,0.0,110731.45194387666,110731.45194387666,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",107912.52377691992
2023-05-01,0.0,112450.28235759302,112450.28235759302,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",109525.70708435294
2023-06-01,0.0,129960.00678160304,129960.00678160304,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",111188.9847991943
2023-07-01,0.0,134294.42072547963,134294.42072547963,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",117279.73612443688
2023-08-01,0.0,147119.39558135558,147119.39558135558,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",120772.08078363027
2023-09-01,0.0,148940.4263793706,148940.4263793706,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",119372.49689483868
2023-10-01,0.0,138494.82822958796,138494.82822958796,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",113498.42951656855
2023-11-01,0.0,142424.01519181993,142424.01519181993,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",112218.69205828158
2023-12-01,0.0,155823.7999529847,155823.7999529847,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",121893.73199667105
2024-01-01,0.0,165685.4873648909,165685.4873648909,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",126709.23093455123
2024-02-01,0.0,182222.26512177836,182222.26512177836,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",130412.06547436587
2024-03-01,0.0,202669.12734223806,202669.12734223806,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",136716.724671083
2024-04-01,0.0,213660.77856700553,213660.77856700553,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",139631.09541354814
2024-05-01,0.0,195347.51845621542,195347.51845621542,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",133798.88591838622
2024-06-01,0.0,216758.14899506926,216758.14899506926,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",141024.3351778535
2024-07-01,0.0,241137.98134541183,241137.98134541183,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",146300.14578147818
2024-08-01,0.0,219602.88039525913,219602.88039525913,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",145675.0536103529
2024-09-01,0.0,226958.34597881377,226958.34597881377,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",151220.28525884738
2024-10-01,0.0,229463.51135077578,229463.51135077578,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",153013.44662611376
2024-11-01,0.0,234419.04892071904,234419.04892071904,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",153664.66558585907
2024-12-01,0.0,242160.2319151592,242160.2319151592,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",162143.86723656525
2025-01-01,0.0,238499.88382787636,238499.88382787636,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",158242.65584225088
2025-02-01,0.0,252264.42940964547,252264.42940964547,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",162492.4856304747
2025-03-01,0.0,242857.1352691657,242857.1352691657,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",160429.66979457292
2025-04-01,0.0,221533.62036051237,221533.62036051237,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",151918.5391073592
2025-05-01,0.0,225864.4801312424,225864.4801312424,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",151241.51014839
2025-06-01,-4.547473508864641e-13,251029.53311218412,251029.53311218412,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",159615.10421829257
2025-07-01,0.0,277112.33252793463,277112.33252793463,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",167762.7941024819
2025-08-01,0.0,280041.954324634,280041.954324634,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",168868.23903694024
2025-09-01,0.0,298183.9841038085,298183.9841038085,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",175205.0273476783
2025-10-01,0.0,339907.2743559291,339907.2743559291,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",182064.18469955568
2025-11-01,0.0,358229.0810999649,358229.0810999649,9,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA",185771.10415526817
2025-12-01,0.0,348171.4325871817,348171.4325871817,10,"LRCX, NVDA, MU, ANET, ADBE, META, GOOG, NFLX, MA, V",185283.56527458015
