date,cash,positions_value,total_value
2015-01-01,100000.0,0.0,100000.0
2015-02-01,0.0,74626.95491758602,74626.95491758602
2015-03-01,0.0,81271.80324340204,81271.80324340204
2015-04-01,0.0,71515.37405956989,71515.37405956989
2015-05-01,0.0,77341.63932422243,77341.63932422243
2015-06-01,0.0,78684.12560368869,78684.12560368869
2015-07-01,0.0,74235.80001028343,74235.80001028343
2015-08-01,0.0,76553.649258275,76553.649258275
2015-09-01,0.0,70263.01043674666,70263.01043674666
2015-10-01,0.0,70819.70969382199,70819.70969382199
2015-11-01,0.0,79156.31216732587,79156.31216732587
2015-12-01,0.0,84055.1554941799,84055.1554941799
2016-01-01,0.0,73714.39419647637,73714.39419647637
2016-02-01,0.0,71268.92110873536,71268.92110873536
2016-03-01,0.0,72302.11125301482,72302.11125301482
2016-04-01,0.0,69862.3135435663,69862.3135435663
2016-05-01,0.0,66634.26330045745,66634.26330045745
2016-06-01,0.0,71672.04071437387,71672.04071437387
2016-07-01,0.0,68879.24931421093,68879.24931421093
2016-08-01,0.0,74307.52690466378,74307.52690466378
2016-09-01,0.0,78683.3959565693,78683.3959565693
2016-10-01,0.0,81205.79770035631,81205.79770035631
2016-11-01,0.0,78774.71755606185,78774.71755606185
2016-12-01,-4.547473508864641e-13,79518.5573245131,79518.5573245131
2017-01-01,0.0,84739.84646244069,84739.84646244069
2017-02-01,0.0,91922.61283243896,91922.61283243896
2017-03-01,0.0,93786.81438354014,93786.81438354014
2017-04-01,-1.1368683772161603e-13,103296.35361583687,103296.35361583687
2017-05-01,-1.1368683772161603e-13,107931.64083786645,107931.64083786645
2017-06-01,-1.1368683772161603e-13,116327.5548481138,116327.5548481138
2017-07-01,-1.1368683772161603e-13,111545.28491851629,111545.28491851629
2017-08-01,0.0,119824.87431968297,119824.87431968297
2017-09-01,0.0,123938.17703730111,123938.17703730111
2017-10-01,0.0,129034.78135685748,129034.78135685748
2017-11-01,0.0,139473.5327096165,139473.5327096165
2017-12-01,0.0,135300.5561827141,135300.5561827141
2018-01-01,0.0,133227.40198842,133227.40198842
2018-02-01,0.0,150746.74556781526,150746.74556781526
2018-03-01,0.0,153856.68083445338,153856.68083445338
2018-04-01,0.0,152597.27712537185,152597.27712537185
2018-05-01,-4.547473508864641e-13,152232.27768286772,152232.27768286772
2018-06-01,0.0,173895.54836573047,173895.54836573047
2018-07-01,0.0,169248.76148504324,169248.76148504324
2018-08-01,-2.842170943040401e-14,170472.29258101853,170472.29258101853
2018-09-01,0.0,185843.5843149796,185843.5843149796
2018-10-01,0.0,178463.95546762215,178463.95546762215
2018-11-01,0.0,154315.82523904464,154315.82523904464
2018-12-01,0.0,154100.90448603948,154100.90448603948
2019-01-01,892.0608347196094,138855.53303694725,139747.59387166685
2019-02-01,0.0,147549.5729726934,147549.5729726934
2019-03-01,66746.01380724387,88785.68222784996,155531.69603509383
2019-04-01,0.0,159770.16254355555,159770.16254355555
2019-05-01,0.0,165463.28891250596,165463.28891250596
2019-06-01,-9.094947017729282e-13,141329.63881691545,141329.63881691545
2019-07-01,0.0,149600.491708706,149600.491708706
2019-08-01,0.0,150598.9071752193,150598.9071752193
2019-09-01,0.0,147924.1052143431,147924.1052143431
2019-10-01,0.0,144497.54359043116,144497.54359043116
2019-11-01,0.0,152321.31618436662,152321.31618436662
2019-12-01,0.0,160874.78036900796,160874.78036900796
2020-01-01,0.0,173289.4310127038,173289.4310127038
2020-02-01,0.0,180868.85869881458,180868.85869881458
2020-03-01,0.0,174421.11984012878,174421.11984012878
2020-04-01,161.11366368512063,143621.21504163742,143782.32870532255
2020-05-01,2929.3619350813738,158394.78331375122,161324.1452488326
2020-06-01,0.0,169813.63887656332,169813.63887656332
2020-07-01,0.0,185923.03486690173,185923.03486690173
2020-08-01,0.0,195184.0066292823,195184.0066292823
2020-09-01,0.0,215577.77204930744,215577.77204930744
2020-10-01,0.0,208468.1299087747,208468.1299087747
2020-11-01,0.0,202476.0917693149,202476.0917693149
2020-12-01,0.0,240578.86863888623,240578.86863888623
2021-01-01,0.0,251878.82503290358,251878.82503290358
2021-02-01,0.0,256583.46283959286,256583.46283959286
2021-03-01,0.0,270034.9147719089,270034.9147719089
2021-04-01,0.0,273682.6756633635,273682.6756633635
2021-05-01,0.0,284838.32028855814,284838.32028855814
2021-06-01,0.0,281771.0995047191,281771.0995047191
2021-07-01,0.0,305017.81227963587,305017.81227963587
2021-08-01,0.0,316986.4458235728,316986.4458235728
2021-09-01,0.0,339615.34409776895,339615.34409776895
2021-10-01,0.0,315866.1593520803,315866.1593520803
2021-11-01,0.0,338993.09871679865,338993.09871679865
2021-12-01,0.0,359021.63179037895,359021.63179037895
2022-01-01,0.0,360745.80080525286,360745.80080525286
2022-02-01,0.0,323953.18632238696,323953.18632238696
2022-03-01,0.0,305762.14303667285,305762.14303667285
2022-04-01,0.0,304961.91891604394,304961.91891604394
2022-05-01,1270.6694041279115,246377.1919631958,247647.86136732373
2022-06-01,0.0,244670.66967167152,244670.66967167152
2022-07-01,11352.722368174691,206629.1402950287,217981.86266320338
2022-08-01,0.0,220748.96125769246,220748.96125769246
2022-09-01,3048.5715370043395,210521.54529762268,213570.11683462703
2022-10-01,3393.7700668529437,192506.56450653076,195900.3345733837
2022-11-01,0.0,202892.1175974867,202892.1175974867
2022-12-01,0.0,220724.816738296,220724.816738296
2023-01-01,0.0,205069.85467991428,205069.85467991428
2023-02-01,0.0,227756.61538463944,227756.61538463944
2023-03-01,0.0,218280.78507460776,218280.78507460776
2023-04-01,0.0,244800.6935477563,244800.6935477563
