date,cash,positions_value,total_value,num_positions,positions,benchmark_value
2015-01-01,100000.0,0.0,100000.0,0,None,100000.0
2015-02-01,0.0,74626.95491758602,74626.95491758602,7,"NVDA, LRCX, MU, ADBE, MSFT, GOOG, META",97089.01622217293
2015-03-01,0.0,81271.80324340204,81271.80324340204,7,"NVDA, LRCX, MU, ADBE, MSFT, GOOG, META",102545.90438435171
2015-04-01,0.0,71515.37405956989,71515.37405956989,9,"NVDA, LRCX, MU, ADBE, MSFT, GOOG, META, NFLX, ALSN",100578.42028809205
2015-05-01,0.0,77341.63932422243,77341.63932422243,10,"NVDA, LRCX, MU, ADBE, MSFT, GOOG, META, NFLX, ALSN, MA",103032.97208526837
2015-06-01,0.0,78684.12560368869,78684.12560368869,10,"NVDA, LRCX, MU, ADBE, MSFT, GOOG, META, NFLX, ALSN, MA",103448.58029152683
2015-07-01,0.0,74235.80001028343,74235.80001028343,10,"NVDA, LRCX, MU, ADBE, MSFT, GOOG, META, NFLX, ALSN, MA",101952.03653745697
2015-08-01,0.0,76553.649258275,76553.649258275,10,"NVDA, LRCX, MU, ADBE, MSFT, GOOG, META, NFLX, ALSN, MA",103426.04850193563
2015-09-01,0.0,70263.01043674666,70263.01043674666,10,"NVDA, LRCX, MU, ADBE, MSFT, GOOG, META, NFLX, ALSN, MA",94223.34647613186
2015-10-01,0.0,70819.70969382199,70819.70969382199,10,"NVDA, LRCX, MU, ADBE, MSFT, GOOG, META, NFLX, ALSN, MA",94890.99944900426
2015-11-01,0.0,79156.31216732587,79156.31216732587,10,"NVDA, LRCX, MU, ADBE, MSFT, GOOG, META, NFLX, ALSN, MA",102694.4406677782
2015-12-01,0.0,84055.1554941799,84055.1554941799,10,"NVDA, LRCX, MU, ADBE, MSFT, GOOG, META, NFLX, ALSN, MA",104052.66302675549
2016-01-01,0.0,73714.39419647637,73714.39419647637,21,"NVDA, LRCX, MU, ADBE, MSFT, GOOG, META, NFLX, ALSN, MA, BX, TGTX, ATO, ED, HRL, MO, OGS, D, HSY, SJM, WEC",101288.48919833699
2016-02-01,0.0,71268.92110873536,71268.92110873536,23,"NVDA, LRCX, MU, ADBE, MSFT, GOOG, META, NFLX, ALSN, MA, BX, TGTX, ATO, ED, HRL, MO, OGS, D, HSY, SJM, WEC, WMT, EVRG",96210.9025596256
