date,ticker,action,shares,market_price,executed_price,total
2015-02-01,NVDA,buy,27132.0,0.46069639921188354,1.3254225728937354,35961.36524775283
2015-02-01,LRCX,buy,1909.0,6.545827388763428,7.125246540945902,13602.095646665726
2015-02-01,MU,buy,420.0,28.55864715576172,29.54500985477804,12408.904139006778
2015-02-01,ADBE,buy,163.0,70.12999725341797,70.6079749638749,11509.099919111608
2015-02-01,MSFT,buy,333.0,34.437156677246094,34.94827045489682,11637.77406148064
2015-02-01,GOOG,buy,396.0,26.45441246032715,26.802344525082237,10613.728431932566
2015-02-01,META,buy,56.537812986717135,75.3834228515625,75.47218982545954,4267.032554049847
2015-04-01,NVDA,sell,8495.0,0.5060678124427795,0.08249591649216481,700.8028106009401
2015-04-01,LRCX,sell,345.0,6.030153274536133,5.569672225869822,1921.5369179250886
2015-04-01,MU,sell,78.0,26.470657348632812,26.376531926524894,2057.3694902689417
2015-04-01,ADBE,sell,48.0,75.06999969482422,74.93240241305988,3596.755315826874
2015-04-01,MSFT,sell,85.0,34.95694351196289,34.86386681720278,2963.4286794622367
2015-04-01,GOOG,sell,101.0,26.852327346801758,26.633718538116632,2690.00557234978
2015-04-01,META,buy,40.462187013282865,81.10346221923828,81.52070479270911,3298.5060027772206
2015-04-01,NFLX,buy,1342.0,5.901713848114014,5.967559803763845,8008.46525665108
2015-04-01,ALSN,buy,98.79897342435804,26.201885223388672,26.54812531036788,2622.927527005563
2015-05-01,NVDA,sell,815.0,0.5479791760444641,0.08569179813346461,69.83881547877365
2015-05-01,LRCX,sell,91.0,6.628360748291016,5.659395989923075,515.0050350829998
2015-05-01,MU,sell,11.0,28.285449981689453,27.672215871887303,304.3943745907603
2015-05-01,MSFT,sell,33.0,41.77322006225586,40.94988103181219,1351.3460740498022
2015-05-01,NFLX,sell,312.0,7.957571029663086,7.136697117173284,2226.6495005580646
2015-05-01,ADBE,buy,2.0,76.43000030517578,76.43451556210184,152.86903112420367
2015-05-01,GOOG,buy,12.0,26.694782257080078,26.91832805720199,323.0199366864239
2015-05-01,META,buy,7.0,78.44206237792969,78.4546493925823,549.1825457480761
2015-05-01,ALSN,buy,131.34390892027594,25.968093872070312,26.207247176502456,3442.162286201697
2015-05-01,MA,buy,5.3122538228129064e-15,85.50634002685547,85.60346814258013,4.547473508864641e-13
2015-06-01,LRCX,sell,94.0,7.157050132751465,6.712759349541865,630.9993788569353
2015-06-01,ADBE,sell,4.0,79.87000274658203,79.24702270507251,316.98809082029004
2015-06-01,NFLX,sell,99.0,8.900285720825195,8.445611283364963,836.1155170531314
2015-06-01,NVDA,buy,410.0,0.5415623188018799,1.0280663621794635,421.50720849358004
2015-06-01,MU,buy,10.0,27.72930335998535,28.49490252148157,284.9490252148157
2015-06-01,MSFT,buy,7.0,40.80909729003906,41.518412479192264,290.62888735434586
2015-06-01,GOOG,buy,5.0,26.50074005126953,26.5985815431905,132.9929077159525
2015-06-01,ALSN,buy,25.199790212364412,25.665639877319336,25.953587408468266,654.0249579516628
2015-07-01,LRCX,sell,61.0,7.086402893066406,6.6612704090382575,406.3374949513337
2015-07-01,ADBE,sell,7.0,80.94000244140625,80.73586376338297,565.1510463436807
2015-07-01,GOOG,sell,9.0,25.897762298583984,24.89783667788963,224.08053010100667
2015-07-01,META,sell,14.0,86.30712890625,86.03754473546998,1204.5256262965797
2015-07-01,NFLX,sell,93.0,9.363571166992188,8.471924264564556,787.8889566045037
2015-07-01,NVDA,buy,692.0,0.4936492443084717,0.9164153207842914,634.1594019827297
2015-07-01,MU,buy,134.78933875532817,18.323589324951172,18.94678225961267,2553.8242523143745
2015-08-01,MSFT,sell,1.0,40.35114288330078,39.73390574080138,39.73390574080138
2015-08-01,GOOG,sell,41.0,31.047639846801758,30.6181756950061,1255.3452034952502
2015-08-01,META,sell,3.0,93.35787200927734,92.4940076788411,277.4820230365233
2015-08-01,NFLX,sell,124.0,11.430999755859375,10.45807639313264,1296.8014727484474
2015-08-01,NVDA,buy,1206.0,0.48275989294052124,1.3300203378721065,1604.0045274737604
2015-08-01,LRCX,buy,149.0,6.6212687492370605,6.719197404289569,1001.1604132391458
2015-08-01,MU,buy,13.904344259274817,18.060148239135742,19.001087673148234,264.19766430811615
2015-09-01,NVDA,sell,2994.0,0.5239145755767822,0.01,29.94
2015-09-01,GOOG,sell,8.0,29.666990280151367,29.112394291162037,232.8991543292963
2015-09-01,NFLX,sell,2.0,10.579000473022461,10.24327256214608,20.48654512429216
2015-09-01,LRCX,buy,31.0,5.9916157722473145,6.37830438608726,197.72743596870507
2015-09-01,MU,buy,5.212626536902779,15.435523986816406,16.421330567016582,85.5982634848834
2015-10-01,NVDA,sell,1854.0,0.5873383283615112,0.10710563879966128,198.57385433457202
2015-10-01,ADBE,sell,8.0,83.75,83.54511431112253,668.3609144889803
2015-10-01,MSFT,sell,9.0,38.79945755004883,37.897423755777616,341.0768138019985
2015-10-01,GOOG,sell,6.0,30.336971282958984,30.261484453020206,181.56890671812124
2015-10-01,META,sell,4.0,90.31908416748047,89.43416884075651,357.73667536302605
2015-10-01,NFLX,sell,1.0,10.597999572753906,10.129619336189922,10.129619336189922
2015-10-01,LRCX,buy,112.0,5.5739054679870605,5.867356214050252,657.1438959736282
2015-10-01,MU,buy,72.85373304644459,14.411043167114258,15.102903338773483,1100.30288806926
2015-11-01,NVDA,sell,812.0,0.6893996000289917,0.01,8.120000000000001
2015-11-01,LRCX,sell,105.0,6.624851226806641,6.55586202568755,688.3655126971928
2015-11-01,MSFT,sell,12.0,45.78353500366211,45.096679768186526,541.1601572182383
2015-11-01,GOOG,sell,11.0,35.27592468261719,34.427215644463175,378.69937208909494
2015-11-01,META,sell,1.0,101.26264190673828,100.64381672608215,100.64381672608215
2015-11-01,MU,buy,24.23995740204964,16.157541275024414,16.91469115530159,410.01139307333636
2015-11-01,ADBE,buy,5.0,88.66000366210938,89.28365722682258,446.4182861341129
2015-11-01,NFLX,buy,62.0,10.838000297546387,11.700761347176753,725.4472035249587
2015-11-01,ALSN,buy,5.56423341759003,24.20266342163086,24.28222647365494,135.11197599820014
2015-12-01,NVDA,sell,1283.0,0.7988570928573608,0.709794667444997,910.6665583319311
2015-12-01,GOOG,sell,5.0,38.066497802734375,37.901574627489566,189.50787313744783
2015-12-01,NFLX,sell,68.0,12.536999702453613,11.627536370822085,790.6724732159018
2015-12-01,LRCX,buy,25.0,6.88434362411499,7.646335626722666,191.15839066806666
2015-12-01,MU,buy,34.0,16.147783279418945,16.828267828987688,572.1611061855814
2015-12-01,ADBE,buy,1.0,92.55000305175781,93.08359841442946,93.08359841442946
2015-12-01,META,buy,1.0,106.37692260742188,106.91468317943286,106.91468317943286
2015-12-01,ALSN,buy,39.21153558475231,23.605112075805664,23.654496372196327,927.5291262377707
2016-01-01,NVDA,sell,8131.0,0.8039796948432922,0.09123753215877262,741.8523739829801
2016-01-01,LRCX,sell,941.0,6.896273136138916,6.187332407604218,5822.27979555557
2016-01-01,MU,sell,344.0,13.81586742401123,13.126837947815549,4515.632254048549
2016-01-01,ADBE,sell,65.0,93.94000244140625,93.21118187376021,6058.726821794414
2016-01-01,MSFT,sell,124.0,48.578880310058594,48.134168370448506,5968.636877935614
2016-01-01,GOOG,sell,142.0,37.661537170410156,37.04483131539264,5260.366046785755
2016-01-01,META,sell,51.0,103.93399047851562,103.70382590023887,5288.895120912182
2016-01-01,NFLX,sell,407.0,11.437999725341797,11.339855448395149,4615.321167496825
2016-01-01,ALSN,sell,145.11844155934068,21.951738357543945,21.466418390064778,3115.1731826269715
2016-01-01,BX,buy,184.0,18.474023818969727,18.87478673650672,3472.9607595172365
2016-01-01,TGTX,buy,286.0,11.930000305175781,12.805185057989073,3662.282926584875
2016-01-01,MA,buy,34.99999999999999,91.54239654541016,91.86469140264654,3215.264199092628
2016-01-01,ATO,buy,73.0,49.72715759277344,49.979757924180795,3648.522328465198
2016-01-01,ED,buy,81.0,44.83594512939453,44.916087743219045,3638.2031072007426
2016-01-01,HRL,buy,119.0,30.602031707763672,30.70439099880613,3653.8225288579292
2016-01-01,MO,buy,122.0,29.856475830078125,30.190179032715385,3683.201841991277
2016-01-01,OGS,buy,97.0,37.34630584716797,37.616956068846335,3648.8447386780945
2016-01-01,D,buy,83.0,43.916046142578125,44.570431029434964,3699.345775443102
2016-01-01,HSY,buy,52.0,70.33592987060547,71.1721863660314,3700.953691033633
2016-01-01,SJM,buy,40.0,91.1773452758789,91.77272955264581,3670.9091821058328
2016-01-01,WEC,buy,45.14243093295633,37.1285514831543,37.49404999216925,1692.5725621683123
2016-02-01,NVDA,sell,41.0,0.7147026062011719,0.1864875403782773,7.645989155509369
2016-02-01,LRCX,sell,21.0,6.30580997467041,5.492161630358518,115.33539423752887
2016-02-01,ADBE,sell,3.0,89.61000061035156,89.49543449415006,268.4863034824502
2016-02-01,MSFT,sell,8.0,47.90464782714844,47.24988224674377,377.9990579739502
2016-02-01,GOOG,sell,10.0,37.320091247558594,36.38472171684885,363.8472171684885
2016-02-01,META,sell,6.0,114.2916259765625,113.39954184430925,680.3972510658555
2016-02-01,ALSN,sell,7.0,20.289884567260742,19.410652592207533,135.87456814545274
2016-02-01,MA,sell,1.0,83.50106048583984,82.87767363388613,82.87767363388613
2016-02-01,BX,sell,10.0,17.29254913330078,16.8010503906313,168.010503906313
