date,cash,positions_value,total_value,num_positions,positions,benchmark_value
2005-01-01,100000.0,0.0,100000.0,0,None,100000.0
2005-02-01,100000.0,0.0,100000.0,0,None,98844.55573395421
2005-03-01,100000.0,0.0,100000.0,0,None,100773.11266831627
2005-04-01,0.0,100000.0,100000.0,10,"LRCX, MU, NVDA, AMAT, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",97997.7568952257
2005-05-01,0.0,99194.38167082205,99194.38167082205,10,"LRCX, MU, NVDA, AMAT, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",96595.72712319322
2005-06-01,0.0,120038.50464917204,120038.50464917204,10,"LRCX, MU, NVDA, AMAT, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",100559.70473650757
2005-07-01,0.0,114475.78979253642,114475.78979253642,10,"LRCX, MU, NVDA, AMAT, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",100152.76722115824
2005-08-01,0.0,128166.42639211963,128166.42639211963,10,"LRCX, MU, NVDA, AMAT, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",103604.8703175094
2005-09-01,0.0,125615.27061413262,125615.27061413262,10,"LRCX, MU, NVDA, AMAT, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",102632.94597027346
2005-10-01,0.0,132534.00214510772,132534.00214510772,10,"LRCX, MU, NVDA, AMAT, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",103532.68794649332
2005-11-01,0.0,135340.14212866782,135340.14212866782,10,"LRCX, MU, NVDA, AMAT, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",101386.90718935477
2005-12-01,0.0,155200.78302720273,155200.78302720273,10,"LRCX, MU, NVDA, AMAT, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",106603.97264325734
2006-01-01,0.0,154824.3262981858,154824.3262981858,11,"LRCX, MU, NVDA, AMAT, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG, EXPE",105324.96306057765
2006-02-01,0.0,169569.10804051664,169569.10804051664,11,"LRCX, MU, NVDA, AMAT, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG, EXPE",108607.11802766935
2006-03-01,0.0,165594.4283581735,165594.4283581735,11,"LRCX, MU, NVDA, AMAT, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG, EXPE",109436.06864731459
2006-04-01,0.0,164389.95976400844,164389.95976400844,11,"LRCX, MU, NVDA, AMAT, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG, EXPE",110261.94587694391
2006-05-01,0.0,171352.7406241009,171352.7406241009,11,"LRCX, MU, NVDA, AMAT, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG, EXPE",110746.08469379402
