date,cash,positions_value,total_value,num_positions,positions,benchmark_value
2005-01-01,100000.0,0.0,100000.0,0,None,100000.0
2005-02-01,100000.0,0.0,100000.0,0,None,98844.56491550761
2005-03-01,100000.0,0.0,100000.0,0,None,100773.1034148941
2005-04-01,0.0,100000.0,100000.0,9,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG",97997.72832261014
2005-05-01,0.0,102196.56857629573,102196.56857629573,9,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG",96595.70768577917
2005-06-01,0.0,110734.93381993962,110734.93381993962,9,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG",100559.74243671
2005-07-01,0.0,119609.51184315493,119609.51184315493,9,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG",100152.84243985858
2005-08-01,0.0,123177.71962793656,123177.71962793656,9,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG",103604.95558386667
2005-09-01,0.0,120908.49780818308,120908.49780818308,9,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG",102632.99345894133
2005-10-01,0.0,131148.79488778336,131148.79488778336,10,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG, CF",103532.65101555822
2005-11-01,0.0,131799.52880100044,131799.52880100044,10,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG, CF",101386.96384254654
2005-12-01,0.0,136110.34755225418,136110.34755225418,10,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG, CF",106603.96448589083
2006-01-01,0.0,146629.05403505242,146629.05403505242,10,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG, CF",105324.97346028536
2006-02-01,0.0,154988.52059224978,154988.52059224978,10,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG, CF",108607.12904434
2006-03-01,0.0,157869.3105259513,157869.3105259513,10,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG, CF",109436.11741479917
2006-04-01,0.0,152565.42563017423,152565.42563017423,10,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG, CF",110261.97600217674
2006-05-01,0.0,154091.96823685858,154091.96823685858,10,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG, CF",110746.08671378886
2006-06-01,0.0,149605.62858191572,149605.62858191572,10,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG, CF",109327.7686479384
2006-07-01,0.0,149708.0139000095,149708.0139000095,10,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG, CF",108574.13004013734
2006-08-01,0.0,149972.61571102464,149972.61571102464,10,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG, CF",108522.89746482871
2006-09-01,0.0,158526.1653518003,158526.1653518003,10,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG, CF",112105.68140218042
2006-10-01,0.0,156523.9805478303,156523.9805478303,10,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG, CF",114449.37199915599
2006-11-01,0.0,168651.94815366503,168651.94815366503,10,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG, CF",117259.67283898112
2006-12-01,0.0,175221.06687663717,175221.06687663717,10,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG, CF",120138.41536168967
2007-01-01,0.0,170870.48646617358,170870.48646617358,10,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG, CF",122013.90732740492
2007-02-01,0.0,174091.45475279534,174091.45475279534,10,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG, CF",124590.0759559819
2007-03-01,0.0,170635.66621576215,170635.66621576215,10,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG, CF",121057.64111162751
2007-04-01,0.0,171291.70051272557,171291.70051272557,10,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG, CF",122826.65466133256
2007-05-01,0.0,181263.854932389,181263.854932389,10,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG, CF",128595.99152796855
2007-06-01,0.0,179527.39127741728,179527.39127741728,10,"JNJ, REGN, PG, ALL, VRTX, NEM, HSY, CL, EOG, CF",133275.53416609374
