date,cash,positions_value,total_value,num_positions,positions,benchmark_value
2005-01-01,100000.0,0.0,100000.0,0,None,100000.0
2005-02-01,100000.0,0.0,100000.0,0,None,98844.52797211506
2005-03-01,100000.0,0.0,100000.0,0,None,100773.02778898054
2005-04-01,0.0,100000.0,100000.0,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",97997.71065425493
2005-05-01,0.0,99194.37705479233,99194.37705479233,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",96595.67201057245
2005-06-01,0.0,120038.49720976078,120038.49720976078,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",100559.67632985864
2005-07-01,0.0,114475.79275216813,114475.79275216813,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",100152.73896749735
2005-08-01,0.0,128166.41258632853,128166.41258632853,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",103604.84076603135
2005-09-01,0.0,125615.26789518827,125615.26789518827,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",102632.9167841901
2005-10-01,0.0,132533.9900069213,132533.9900069213,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",103532.61142843876
2005-11-01,0.0,135340.15133662536,135340.15133662536,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",101386.86907297662
2005-12-01,0.0,155200.7638809897,155200.7638809897,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",106603.9137680396
2006-01-01,0.0,154824.32061302624,154824.32061302624,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",105324.92346368857
2006-02-01,0.0,169551.22821543628,169551.22821543628,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",108607.08659559775
2006-03-01,0.0,165614.53170124057,165614.53170124057,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",109436.07449857001
2006-04-01,0.0,164399.94584900772,164399.94584900772,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",110261.93262022565
2006-05-01,0.0,171283.23799259603,171283.23799259603,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",110746.00546386508
