date,cash,positions_value,total_value,num_positions,positions,benchmark_value
2005-01-01,100000.0,0.0,100000.0,0,None,100000.0
2005-02-01,100000.0,0.0,100000.0,0,None,98844.55584255146
2005-03-01,100000.0,0.0,100000.0,0,None,100773.03740569064
2005-04-01,0.0,100000.0,100000.0,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",97997.71948843006
2005-05-01,0.0,99194.38848651998,99194.38848651998,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",96595.72744315217
2005-06-01,0.0,120038.50554408379,120038.50554408379,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",100559.70468390234
2005-07-01,0.0,114475.80190711036,114475.80190711036,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",100152.81420052674
2005-08-01,0.0,128166.44538213006,128166.44538213006,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",103604.8887761875
2005-09-01,0.0,125615.28679156542,125615.28679156542,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",102632.93632406423
2005-10-01,0.0,132534.0017888761,132534.0017888761,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",103532.6030257569
2005-11-01,0.0,135340.1722622327,135340.1722622327,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",101386.90705900289
2005-12-01,0.0,155200.81114233643,155200.81114233643,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",106603.9156300947
2006-01-01,0.0,154824.3529256539,154824.3529256539,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",105324.92496511656
