date,cash,positions_value,total_value,num_positions,positions,benchmark_value
2005-01-01,100000.0,0.0,100000.0,0,None,100000.0
2005-02-01,100000.0,0.0,100000.0,0,None,98844.53726225879
2005-03-01,100000.0,0.0,100000.0,0,None,100773.07485535333
2005-04-01,0.0,100000.0,100000.0,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",97997.70106732132
2005-05-01,0.0,99194.38238060668,99194.38238060668,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",96595.68108935197
2005-06-01,0.0,120038.51182529467,120038.51182529467,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",100559.66698371762
2005-07-01,0.0,114475.79469558787,114475.79469558787,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",100152.80477305794
2005-08-01,0.0,128166.43122494782,128166.43122494782,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",103604.86930107184
2005-09-01,0.0,125615.27782375827,125615.27782375827,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",102632.90763290763
2005-10-01,0.0,132534.00751828597,132534.00751828597,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",103532.60236171629
2005-11-01,0.0,135340.15901642875,135340.15901642875,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",101386.88800081206
2005-12-01,0.0,155200.80535658696,155200.80535658696,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",106603.91438872452
2006-01-01,0.0,154824.34705215791,154824.34705215791,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",105324.9521603952
2006-02-01,0.0,169551.26302507668,169551.26302507668,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",108607.07800581219
2006-03-01,0.0,165614.549291422,165614.549291422,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",109436.09418292964
2006-04-01,0.0,164399.95349551627,164399.95349551627,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",110261.9335847184
2006-05-01,0.0,171283.25538868026,171283.25538868026,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",110746.03467008531
2006-06-01,0.0,162700.64246433662,162700.64246433662,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",109327.76426447312
2006-07-01,0.0,160523.77820995412,160523.77820995412,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",108574.06961837343
2006-08-01,0.0,142920.75191623048,142920.75191623048,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",108522.8652633716
2006-09-01,0.0,159987.09375163098,159987.09375163098,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",112105.62871955277
2006-10-01,0.0,165547.67842819347,165547.67842819347,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",114449.318215141
2006-11-01,0.0,174163.58747943616,174163.58747943616,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",117259.59893681413
2006-12-01,0.0,184188.938764451,184188.938764451,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",120138.37770166884
2007-01-01,0.0,181654.55713971844,181654.55713971844,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",122013.93457722572
2007-02-01,0.0,175396.71139720245,175396.71139720245,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",124589.98921024238
2007-03-01,0.0,170879.01828511123,170879.01828511123,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",121057.58422214119
2007-04-01,0.0,171184.66806085655,171184.66806085655,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",122826.54994680312
2007-05-01,0.0,188764.5465270848,188764.5465270848,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",128595.94049467468
2007-06-01,0.0,198113.6086315098,198113.6086315098,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",133275.49033245235
2007-07-01,0.0,203902.4269045381,203902.4269045381,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",130679.09681833733
2007-08-01,0.0,218215.95627552038,218215.95627552038,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",127204.28733086961
2007-09-01,0.0,221197.13709398382,221197.13709398382,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",128212.05821205821
2007-10-01,0.0,240867.5414483339,240867.5414483339,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",134676.88059460212
2007-11-01,0.0,238346.11817652502,238346.11817652502,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",131822.75473414714
2007-12-01,0.0,230151.61046397802,230151.61046397802,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",129754.2134567451
2008-01-01,0.0,229559.82225128048,229559.82225128048,10,"AMAT, LRCX, MU, NVDA, WDC, GOOGL, GOOG, AMZN, EBAY, ISRG",128293.01898922153
