date,cash,positions_value,total_value,num_positions,positions,benchmark_value
2005-01-01,100000.0,0.0,100000.0,0,None,100000.0
2005-02-01,100000.0,0.0,100000.0,0,None,98844.55562535692
2005-03-01,100000.0,0.0,100000.0,0,None,100773.06574724363
2005-04-01,0.0,100000.0,100000.0,10,"NVDA, MU, LRCX, AMAT, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",97997.71911205149
2005-05-01,99194.3829842761,0.0,99194.3829842761,0,None,96595.70800574
2005-06-01,0.0,99194.3829842761,99194.3829842761,8,"NVDA, MU, LRCX, AMAT, WDC, GOOG, GOOGL, AMZN",100559.70478911279
2005-07-01,0.0,96236.05238847033,96236.05238847033,10,"NVDA, MU, LRCX, AMAT, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",100152.78603301065
2005-08-01,0.0,107749.8246699277,107749.8246699277,10,"NVDA, MU, LRCX, AMAT, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",103604.90825131047
2005-09-01,0.0,105606.29767583316,105606.29767583316,10,"NVDA, MU, LRCX, AMAT, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",102632.99321147293
2005-10-01,0.0,111422.5610894574,111422.5610894574,10,"NVDA, MU, LRCX, AMAT, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",103532.63188603906
2005-11-01,113781.09207784243,0.0,113781.09207784243,0,None,101386.89792095954
2005-12-01,0.0,113781.09207784243,113781.09207784243,8,"NVDA, MU, LRCX, AMAT, WDC, GOOG, GOOGL, AMZN",106603.94506770669
2006-01-01,0.0,113993.61518906048,113993.61518906048,10,"NVDA, MU, LRCX, AMAT, WDC, GOOG, GOOGL, AMZN, EXPE, EBAY",105324.93536481613
2006-02-01,0.0,125697.94342311933,125697.94342311933,10,"NVDA, MU, LRCX, AMAT, WDC, GOOG, GOOGL, AMZN, EXPE, EBAY",108607.10003913638
2006-03-01,0.0,120982.33085791639,120982.33085791639,10,"NVDA, MU, LRCX, AMAT, WDC, GOOG, GOOGL, AMZN, EXPE, EBAY",109436.13532541657
2006-04-01,0.0,120197.68161929883,120197.68161929883,10,"NVDA, MU, LRCX, AMAT, WDC, GOOG, GOOGL, AMZN, EXPE, EBAY",110262.0032339209
2006-05-01,0.0,125190.44388998527,125190.44388998527,10,"NVDA, MU, LRCX, AMAT, WDC, GOOG, GOOGL, AMZN, EXPE, EBAY",110746.05750755001
2006-06-01,117076.22760734793,0.0,117076.22760734793,0,None,109327.77716999213
2006-07-01,0.0,117076.22760734793,117076.22760734793,10,"NVDA, MU, LRCX, AMAT, WDC, GOOG, GOOGL, AMZN, EXPE, EBAY",108574.12923427655
2006-08-01,148.90989804860146,104738.65185546875,104887.56175351735,1,SH,108522.93425877157
2006-09-01,0.0,102195.69361997243,102195.69361997243,9,"NVDA, MU, LRCX, AMAT, WDC, GOOG, GOOGL, AMZN, EXPE",112105.67086565093
2006-10-01,0.0,105955.37832054976,105955.37832054976,10,"NVDA, MU, LRCX, AMAT, WDC, GOOG, GOOGL, AMZN, EXPE, EBAY",114449.37064109606
2006-11-01,0.0,111033.39450269239,111033.39450269239,10,"NVDA, MU, LRCX, AMAT, WDC, GOOG, GOOGL, AMZN, EXPE, EBAY",117259.59602681124
2006-12-01,0.0,118727.6289890381,118727.6289890381,10,"NVDA, MU, LRCX, AMAT, WDC, GOOG, GOOGL, AMZN, EXPE, EBAY",120138.41346893094
2007-01-01,0.0,119361.34452995115,119361.34452995115,10,"NVDA, MU, LRCX, AMAT, WDC, GOOG, GOOGL, AMZN, EXPE, EBAY",122013.91465712055
2007-02-01,0.0,114340.85139649056,114340.85139649056,10,"NVDA, MU, LRCX, AMAT, WDC, GOOG, GOOGL, AMZN, EXPE, EBAY",124590.0172523402
2007-03-01,0.0,111395.91973178019,111395.91973178019,10,"NVDA, MU, LRCX, AMAT, WDC, GOOG, GOOGL, AMZN, EXPE, EBAY",121057.63913247308
