date,cash,positions_value,total_value,num_positions,positions,benchmark_value
2005-01-01,100000.0,0.0,100000.0,0,None,100000.0
2005-02-01,100000.0,0.0,100000.0,0,None,98844.53737085774
2005-03-01,100000.0,0.0,100000.0,0,None,100773.01839023786
2005-04-01,0.0,100000.0,100000.0,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",97997.72945174032
2005-05-01,0.0,99194.38302047816,99194.38302047816,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",96595.68140931515
2005-06-01,0.0,120038.50925985407,120038.50925985407,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",100559.68572860134
2005-07-01,0.0,114475.79376229824,114475.79376229824,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",100152.74836624005
2005-08-01,0.0,128166.42367628624,128166.42367628624,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",103604.88775974482
2005-09-01,0.0,125615.28406110014,125615.28406110014,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",102632.9355816755
2005-10-01,0.0,132534.00339821633,132534.00339821633,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",103532.63022592415
2005-11-01,0.0,135340.15842152666,135340.15842152666,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",101386.88787046201
2005-12-01,0.0,155200.7945883628,155200.7945883628,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",106603.93256552497
2006-01-01,0.0,154824.34933070373,154824.34933070373,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",105324.91406494587
2006-02-01,0.0,169551.2432227788,169551.2432227788,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",108607.06779811237
2006-03-01,0.0,165614.54473610676,165614.54473610676,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",109436.04630234194
2006-04-01,0.0,164399.9382485971,164399.9382485971,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",110261.91382274027
2006-05-01,0.0,171283.24358965317,171283.24358965317,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",110746.04305883584
2006-06-01,0.0,162700.6503861039,162700.6503861039,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",109327.73519155248
2006-07-01,0.0,160523.7707166523,160523.7707166523,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",108574.00302131982
2006-08-01,0.0,142920.74980149258,142920.74980149258,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",108522.8738610721
2006-09-01,0.0,159987.09386455832,159987.09386455832,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",112105.60878429048
2006-10-01,0.0,165547.6730038382,165547.6730038382,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",114449.34505331483
2006-11-01,0.0,174163.58917542786,174163.58917542786,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",117259.52212468728
2006-12-01,0.0,184188.91292715375,184188.91292715375,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",120138.35701142915
2007-01-01,0.0,181654.57205836612,181654.57205836612,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",122013.92310944996
2007-02-01,0.0,175396.69851370176,175396.69851370176,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",124589.92110789371
2007-03-01,0.0,170879.03075142147,170879.03075142147,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",121057.55404676494
2007-04-01,0.0,171184.6805125402,171184.6805125402,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",122826.57599762248
2007-05-01,0.0,188764.5357488591,188764.5357488591,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",128595.90961078771
2007-06-01,0.0,198113.62430513342,198113.62430513342,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",133275.383818805
2007-07-01,0.0,203902.412316729,203902.412316729,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, ISRG",130679.11273237334
2007-08-01,0.0,218215.95636675388,218215.95636675388,9,"JNJ, REGN, PG, ALL, VRTX, NEM, CF, CHD, HSY",127204.35056520748
2007-09-01,0.0,235580.6064977207,235580.6064977207,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, EXPE",128212.02736425136
2007-10-01,0.0,257458.47022864444,257458.47022864444,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, EXPE",134676.8961328967
2007-11-01,0.0,252000.3404412115,252000.3404412115,9,"JNJ, REGN, PG, ALL, VRTX, NEM, CF, CHD, HSY",131822.78933817908
2007-12-01,0.0,260481.2067295553,260481.2067295553,9,"JNJ, REGN, PG, ALL, VRTX, NEM, CF, CHD, HSY",129754.17306525235
2008-01-01,-4.547473508864641e-13,266812.74787523807,266812.74787523807,10,"NVDA, LRCX, AMAT, MU, WDC, GOOG, GOOGL, AMZN, EBAY, EXPE",128293.01633003345
2008-02-01,0.0,236919.83609161814,236919.83609161814,9,"JNJ, REGN, PG, ALL, VRTX, NEM, CF, CHD, HSY",122475.4859643406
2008-03-01,0.0,232100.34864372024,232100.34864372024,9,"JNJ, REGN, PG, ALL, VRTX, NEM, CF, CHD, HSY",117421.28388516954
2008-04-01,0.0,243086.78269504325,243086.78269504325,9,"JNJ, REGN, PG, ALL, VRTX, NEM, CF, CHD, HSY",120462.89559660446
2008-05-01,0.0,252490.59803835195,252490.59803835195,9,"JNJ, REGN, PG, ALL, VRTX, NEM, CF, CHD, HSY",124439.81378835026
2008-06-01,0.0,256788.88410627254,256788.88410627254,9,"JNJ, REGN, PG, ALL, VRTX, NEM, CF, CHD, HSY",123760.83921749452
2008-07-01,0.0,254522.8102458115,254522.8102458115,9,"JNJ, REGN, PG, ALL, VRTX, NEM, CF, CHD, HSY",113771.88368003258
2008-08-01,0.0,264901.6251279197,264901.6251279197,9,"JNJ, REGN, PG, ALL, VRTX, NEM, CF, CHD, HSY",111804.47306841974
